A_day_30_cnt,A_rst_name,B_day_30_cnt,B_rst_name,city_name,latitude,location,longtitude,platform_A_restid,platform_B_restid,rest_type
 747, 尚东便利店, 730, 尚东便利店, 盐城市, 33.515936, 建湖县秀夫南路书香苑1幢110室，7天酒店, 119.888045, 7737111, 353206,A
 671, 冻吃冷食（梦想城店）, 163, 冻吃冷食（梦想城店）, 菏泽市, 35.518051, 山东省菏泽市鄄城县舜耕路与运河街交叉口向东300米路南菜篮子超级市场25号, 115.560342, 9684222, 499241,A
 492, 福贵烧烤, 515, 福贵烧烤, 台州市, 28.67979, 解放北路118号, 121.43856, 4636541, 593893,A
 671, 冻吃冷食（梦想城店）, 163, 冻吃冷食（梦想城店）, 菏泽市, 35.518051, 山东省菏泽市鄄城县舜耕路与运河街交叉口向东300米路南菜篮子超级市场25号, 115.560342, 9684222, 499241,A
 550, 御喜玛蛋糕, 315, 御喜玛蛋糕, 常州市, 31.760784, 天宁区茶山街道光华世家19-14号, 119.971325, 788571, 266667,A
 874, 爱芙园（摩尔店）, 519, 爱芙园（摩尔店）, 广安市, 30.45434, 广安市广安区滨河路一段国际商业中心97号，98号, 106.631565, 9736601, 875462,A
 671, 冻吃冷食（梦想城店）, 163, 冻吃冷食（梦想城店）, 菏泽市, 35.518051, 山东省菏泽市鄄城县舜耕路与运河街交叉口向东300米路南菜篮子超级市场25号, 115.560342, 9684222, 499241,A
 259, 爱牛杂, 405, 爱牛杂, 南宁市, 23.173789, 隆安城厢镇城内街878号, 107.691627, 5777589, 743539,A
 671, 冻吃冷食（梦想城店）, 163, 冻吃冷食（梦想城店）, 菏泽市, 35.518051, 山东省菏泽市鄄城县舜耕路与运河街交叉口向东300米路南菜篮子超级市场25号, 115.560342, 9684222, 499241,A
 185, 镖师红糖馒头（射阳店）, 207, 镖师红糖馒头（射阳店）, 盐城市, 33.76999, 射阳县合德镇双拥路95号由南向北第四间门市, 120.26509, 8417885, 336135,A
 847, 尚一品炸鸡, 198, 尚一品炸鸡, 十堰市, 32.228175, 城关镇人民路（城西村99号103号）, 110.225616, 6322931, 348127,A
 700, 宠乐屋, 748, 宠乐屋, 东莞市, 23.152139, 广州市增城区新塘镇东街道居委会石新大道88号, 113.689157, 8493201, 259726,A
 867, 德克士（定西半岛店）-清真, 179, 德克士（定西半岛店）-清真, 定西市, 35.582796, 甘肃省定西市安定区中华路街道办友谊北路半岛广场一层, 104.617487, 6512625, 676672,A
 847, 尚一品炸鸡, 198, 尚一品炸鸡, 十堰市, 32.228175, 城关镇人民路（城西村99号103号）, 110.225616, 6322931, 348127,A
 117, 东北特色小吃, 504, 东北特色小吃, 定西市, 35.13288, 甘肃省定西市渭源县清源镇平桥路西侧粮食贸易楼15号商铺, 104.212697, 7995713, 474040,A
 467, 一日三餐煎肉饭, 401, 一日三餐煎肉饭, 天津市, 38.989377, 天津市津南区咸水沽镇体育场路东侧，津沽路北侧惠安花园13-07一层, 117.38991, 8282106, 679985,A
 817, 河风精致寿司, 516, 河风精致寿司, 苏州市, 31.373326, 苏州工业园区尼盛广场F202a, 120.60855, 2487416, 120825,A
 847, 尚一品炸鸡, 198, 尚一品炸鸡, 十堰市, 32.228175, 城关镇人民路（城西村99号103号）, 110.225616, 6322931, 348127,A
 637, 神威大药房圣诺十五店, 730, 神威大药房圣诺十五店, 石家庄市, 38.103462, 石家庄市新华区和平路561号, 114.454538, 4065370, 388849,A
 376, 聚一聚菜馆（青海东路店）, 146, 聚一聚菜馆（青海东路店）, 上海市, 31.898365, 海门经济技术开发区通源新村807幢106号（苏洪鲜食对面）, 121.191459, 7290650, 805150,A
 423, 桥头排骨, 999, 桥头排骨, 哈尔滨市, 45.845872, 方正县方正镇城北新区博汇商服二号楼一层北数第40门（门洞南侧北数第17屋）T40, 128.831279, 7613386, 749629,A
 704, 甘雨亭（工农兵大道店）, 562, 甘雨亭（工农兵大道店）, 吉安市, 26.792531, 澄江镇工农兵大道水电公司旁, 114.888483, 5079017, 561154,A
 188, 屈臣氏（新都会广场店）, 966, 屈臣氏（新都会广场店）, 合肥市, 31.87103, 安徽省合肥市马鞍山南路100号新都会环球广场1层, 117.323779, 6011466, 402435,A
 180, 广州美佳香食品, 708, 广州美佳香食品, 东莞市, 22.933029, 广州市南沙区东涌镇三沙村三沙公路11号4号铺, 113.554799, 9371799, 538175,A
 141, 爱花居鲜花（金卉花园店）, 571, 爱花居鲜花（金卉花园店）, 赣州市, 25.960573, 赣州市于都县贡江镇古田塘尾, 115.433535, 8283113, 399832,B
 598, RoyBlteB皇茶（广厦店）, 160, RoyBlteB皇茶（广厦店）, 哈尔滨市, 45.91907, 哈尔滨市利民开发区学院路泓林金色地标12号楼1号商服, 126.508006, 9862421, 287184,B
 994, ?客莱黄焖鸡米饭&木桶饭（禾盛广场店）, 234, ?客莱黄焖鸡米饭&木桶饭（禾盛广场店）, 苏州市, 31.537706, 常熟市辛庄镇新阳大道80号禾盛商业广场3幢118, 120.680701, 2230032, 206344,B
 296, 克洛里斯花店（生日花，鲜花，绿植）, 327, 克洛里斯花店（生日花，鲜花，绿植）, 盐城市, 32.645386, 东台市新街镇九总村一组34号, 120.858684, 6057383, 693525,B
 378, H100 BBKERY（九御皇城店）, 787, H100 BBKERY（九御皇城店）, 孝感市, 30.65666, 仙女山街道办事处九御皇城S1-3号, 113.824223, 6726382, 266754,B
 527, 美味阁过桥米线黄焖鸡米饭（圩塘店）, 628, 美味阁过桥米线黄焖鸡米饭（圩塘店）, 常州市, 31.942961, 春江镇圩塘新业街33, 119.994394, 3040469, 964838,B
 673, 陕北味道（金泽店）, 919, 陕北味道（金泽店）, 延安市, 36.599807, 东关街24号, 109.495758, 8649606, 936135,B
 998, 老兵烧烤, 518, 老兵烧烤, 宁波市, 30.160072, 浙江省慈溪市逍林镇新园村逍林大道58号, 121.314001, 7106835, 747001,B
 315, 疯狂炸串店, 591, 疯狂炸串店, 南京市, 32.12511, 南京市栖霞区迈皋桥街道寅春农贸市场, 118.837394, 7180818, 991779,B
 355, 米图花厨（常州店）, 997, 米图花厨（常州店）, 常州市, 31.767388, 清潭路93号国光?1937科技文化创意园（中天钢铁体育馆）, 119.941602, 2486659, 289094,B
 877, 川渝骨汤冒菜, 399, 川渝骨汤冒菜, 巴中市, 31.575311, 四川省巴中市平昌县金宝新区御江名门4栋1-4号, 107.086105, 6056714, 697052,B
 141, 佳和超市, 225, 佳和超市, 唐山市, 39.732035, 丰润区祥润底商20号, 118.10387, 2035552, 631128,B
 991, 九二九精酿鲜啤, 726, 九二九精酿鲜啤, 南京市, 32.251633, 南京市江北新区泰山街道天华南路5号天润城第十六街区商业2幢103室, 118.640486, 8265961, 385460,B
 187, 重庆小面（春晓店）, 578, 重庆小面（春晓店）, 宁波市, 29.759695, 北仑区春晓洋沙山路80-1号4幢80-1号, 121.902708, 1708674, 662539,A
 831, 星巴克咖啡代购（滨湖万达茂商圈店）, 565, 星巴克咖啡代购（滨湖万达茂商圈店）, 合肥市, 31.674731, 安徽省合肥市包河区庐州大道商圈, 117.195536, 6104156, 525048,A
 974, 诚记甜品（常熟万达店）, 311, 诚记甜品（常熟万达店）, 苏州市, 31.56396, 珠海路8号万达广场3030A, 120.837806, 7481500, 678907,A
 537, 福建特色小吃, 359, 福建特色小吃, 宁波市, 29.758052, 奉化市江口街道方桥新建东路6号, 121.456682, 9539650, 937407,A
 710, 过桥米线（开关厂店）, 699, 过桥米线（开关厂店）, 南昌市, 28.690419, 南昌市新建区长?镇长征西路637号中国联通西北80米, 115.876804, 2008241, 167091,A
 302, 南昌喜来登酒店, 572, 南昌喜来登酒店, 南昌市, 28.700795, 江西省南昌市红谷滩新区红谷中大道1669号, 115.859297, 7446599, 205563,A
 710, 过桥米线（开关厂店）, 699, 过桥米线（开关厂店）, 南昌市, 28.690419, 南昌市新建区长?镇长征西路637号中国联通西北80米, 115.876804, 2008241, 167091,A
 457, 茶巢（龙湖医学院店）, 381, 茶巢（龙湖医学院店）, 厦门市, 24.519161, 厦门市集美区灌口镇鱼福三里98号, 118.118397, 3196543, 218896,A
 442, 伴青半茶, 946, 伴青半茶, 苏州市, 31.366936, 昆山市玉山镇城北娄苑路194号, 120.937633, 10019996, 803216,A
 710, 过桥米线（开关厂店）, 699, 过桥米线（开关厂店）, 南昌市, 28.690419, 南昌市新建区长?镇长征西路637号中国联通西北80米, 115.876804, 2008241, 167091,A
 670, 1919酒类直供（梦时代店）, 627, 1919酒类直供（梦时代店）, 南昌市, 28.597294, 江西省南昌市青山湖区北京东路308号恒茂国际都会商业?A107、B107室, 116.018716, 8128073, 896359,A
 710, 过桥米线（开关厂店）, 699, 过桥米线（开关厂店）, 南昌市, 28.690419, 南昌市新建区长?镇长征西路637号中国联通西北80米, 115.876804, 2008241, 167091,A
 426, 尚德快新浏阳菜馆, 198, 尚德快新浏阳菜馆, 宜春市, 28.29246, 上塘镇矿务局梅苑小区, 115.746779, 3158752, 484983,A
